Date,Open,High,Low,Close,Volume
12/10/18,1623.84,1657.99,1590.87,1641.03,7494808
12/07/18,1705.07,1718.9262,1625.46,1629.13,7576132
12/06/18,1614.87,1701.05,1609.85,1699.19,8789394
12/04/18,1756.00,1770.3382,1665.00,1668.40,8694455
12/03/18,1769.46,1778.34,1730.00,1772.36,6862160
11/30/18,1679.50,1696.00,1666.50,1690.17,5761761
11/29/18,1674.99,1689.99,1652.331,1673.57,6613243
11/28/18,1613.92,1681.45,1601.215,1677.75,8458738
11/27/18,1575.99,1597.65,1558.01,1581.42,5783227
11/26/18,1539.00,1584.81,1524.22,1581.33,6257716
11/23/18,1517.00,1536.20,1501.81,1502.06,2707642
11/21/18,1542.99,1550.00,1515.00,1516.73,5716800
11/20/18,1437.50,1534.75,1420.00,1495.46,10878823
11/19/18,1577.01,1581.19,1503.36,1512.29,7789981
11/16/18,1587.50,1614.48,1573.12,1593.41,6066080
11/15/18,1581.01,1624.82,1546.51,1619.44,8427337
11/14/18,1656.32,1672.9952,1597.07,1599.01,6486891
11/13/18,1649.29,1677.0638,1613.75,1631.17,5933271
11/12/18,1698.24,1708.55,1630.01,1636.85,6806245
11/09/18,1732.50,1743.9206,1701.87,1712.43,5902186
11/08/18,1755.00,1784.00,1725.11,1754.91,6534866
11/07/18,1673.00,1759.23,1664.075,1755.49,8192234
11/06/18,1618.35,1665.00,1614.55,1642.81,4257353
11/05/18,1657.57,1658.09,1596.36,1627.80,5624727
11/02/18,1678.59,1697.44,1651.83,1665.53,6955548
11/01/18,1623.53,1670.4465,1598.44,1665.53,8135539
10/31/18,1569.99,1623.91,1565.09,1598.01,9390211
10/30/18,1486.16,1540.99,1476.36,1530.42,12460086
10/29/18,1660.00,1665.7383,1495.00,1538.88,13866077
10/26/18,1649.59,1698.46,1603.00,1642.81,14963783
10/25/18,1703.34,1794.81,1692.0101,1782.17,10285742
10/24/18,1773.70,1777.7099,1656.56,1664.20,6928383
10/23/18,1742.24,1776.34,1714.00,1768.70,6723913
10/22/18,1784.00,1809.4999,1756.00,1789.30,4500015
10/19/18,1785.16,1809.10,1753.00,1764.03,5907246
